sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-08T07:55:42.488817,ryu,Star_8n_5M,8,star,5M,16860.49,0.1,0.0,1.0,0.061,0.38,33.34,46.86,1.0,0.8813,0.96,0.9738,ryu,0.0639,hybrid_p95,CONTROLLER
2,1,2026-05-08T07:57:08.734724,floodlight,Star_8n_5M,8,star,5M,16984.17,0.087,0.0,1.0,0.072,42.84,315.5,49.02,1.0,0.4897,0.9581,0.898,ryu,0.0639,hybrid_p95,CONTROLLER
3,1,2026-05-08T07:59:40.529076,onos,Star_8n_5M,8,star,5M,17281.28,5.664,0.0,1.0,19.6,13.9,736.5,55.67,1.0,0.6793,0.6596,0.9099,ryu,0.0639,hybrid_p95,CONTROLLER
4,1,2026-05-08T08:01:04.230641,ryu,Star_8n_15M,8,star,15M,17685.8,0.099,0.0,1.0,0.07,0.38,33.33,43.2,1.0,0.8813,0.9629,0.974,ryu,0.063,hybrid_p95,CONTROLLER
5,1,2026-05-08T08:02:30.415329,floodlight,Star_8n_15M,8,star,15M,16773.82,0.082,0.0,1.0,0.074,33.54,326.41,53.26,1.0,0.5584,0.9545,0.911,ryu,0.063,hybrid_p95,CONTROLLER
6,1,2026-05-08T08:05:03.024945,onos,Star_8n_15M,8,star,15M,17537.48,6.415,0.0,1.0,23.504,19.13,807.66,59.55,1.0,0.637,0.5978,0.8966,ryu,0.063,hybrid_p95,CONTROLLER
7,1,2026-05-08T08:06:26.811661,ryu,Star_8n_30M,8,star,30M,17627.42,0.094,0.0,1.0,0.056,0.26,33.34,45.52,1.0,0.8822,0.9612,0.974,ryu,0.0736,hybrid_p95,CONTROLLER
8,1,2026-05-08T08:07:52.922344,floodlight,Star_8n_30M,8,star,30M,16967.3,0.097,0.0,1.0,0.095,41.03,308.5,53.96,1.0,0.504,0.9536,0.9004,ryu,0.0736,hybrid_p95,CONTROLLER
9,1,2026-05-08T08:10:24.701351,onos,Star_8n_30M,8,star,30M,17353.35,5.702,0.0,1.0,20.855,31.86,714.1,56.97,1.0,0.5454,0.6397,0.8824,ryu,0.0736,hybrid_p95,CONTROLLER
10,1,2026-05-08T08:11:48.512531,ryu,Star_8n_80M,8,star,80M,17665.19,0.114,0.0,1.0,0.093,0.35,33.35,45.01,1.0,0.8815,0.9611,0.9739,ryu,0.065,hybrid_p95,CONTROLLER
11,1,2026-05-08T08:13:14.658433,floodlight,Star_8n_80M,8,star,80M,17226.48,0.085,0.0,1.0,0.103,34.97,333.1,51.48,1.0,0.547,0.9556,0.9089,ryu,0.065,hybrid_p95,CONTROLLER
12,1,2026-05-08T08:15:46.684684,onos,Star_8n_80M,8,star,80M,17196.36,5.138,0.0,1.0,17.593,22.76,772.91,57.39,1.0,0.6112,0.6883,0.8991,ryu,0.065,hybrid_p95,CONTROLLER
13,1,2026-05-08T08:17:10.496311,ryu,Star_8n_180M,8,star,180M,17327.38,0.121,0.0,1.0,0.149,0.4,33.34,44.67,1.0,0.8811,0.9605,0.9738,ryu,0.0639,hybrid_p95,CONTROLLER
14,1,2026-05-08T08:18:36.620750,floodlight,Star_8n_180M,8,star,180M,16945.34,0.089,0.0,1.0,0.083,34.38,331.3,49.69,1.0,0.5516,0.9573,0.9099,ryu,0.0639,hybrid_p95,CONTROLLER
15,1,2026-05-08T08:21:08.635328,onos,Star_8n_180M,8,star,180M,17693.3,6.445,0.0,1.0,22.464,26.43,699.5,56.04,1.0,0.5869,0.6163,0.8884,ryu,0.0639,hybrid_p95,CONTROLLER
16,1,2026-05-08T08:22:32.574132,ryu,Star_9n_5M,9,star,5M,17555.02,0.088,0.0,1.0,0.052,0.44,33.34,51.34,1.0,0.8808,0.9564,0.9734,ryu,0.064,hybrid_p95,CONTROLLER
17,1,2026-05-08T08:23:59.028904,floodlight,Star_9n_5M,9,star,5M,17123.25,0.088,0.0,1.0,0.086,34.53,313.02,59.42,1.0,0.5523,0.9492,0.9094,ryu,0.064,hybrid_p95,CONTROLLER
18,1,2026-05-08T08:26:30.797594,onos,Star_9n_5M,9,star,5M,18018.19,4.954,0.0,1.0,17.022,15.81,779.7,63.38,1.0,0.6631,0.6919,0.9094,ryu,0.064,hybrid_p95,CONTROLLER
19,1,2026-05-08T08:27:54.659674,ryu,Star_9n_15M,9,star,15M,17957.12,0.112,0.0,1.0,0.091,0.24,33.34,48.52,1.0,0.8824,0.9582,0.9738,ryu,0.0587,hybrid_p95,CONTROLLER
20,1,2026-05-08T08:29:20.728556,floodlight,Star_9n_15M,9,star,15M,19184.04,0.109,0.0,1.0,0.15,33.71,337.81,58.23,1.0,0.556,0.9492,0.9101,ryu,0.0587,hybrid_p95,CONTROLLER
21,1,2026-05-08T08:31:50.884724,onos,Star_9n_15M,9,star,15M,19870.16,3.951,0.0,1.0,12.874,15.94,731.7,58.77,1.0,0.6642,0.7579,0.9151,ryu,0.0587,hybrid_p95,CONTROLLER
22,1,2026-05-08T08:33:14.613586,ryu,Star_9n_30M,9,star,30M,19944.18,0.105,0.0,1.0,0.05,0.36,33.34,48.31,1.0,0.8814,0.959,0.9737,ryu,0.0563,hybrid_p95,CONTROLLER
23,1,2026-05-08T08:34:40.523385,floodlight,Star_9n_30M,9,star,30M,19531.05,0.093,0.0,1.0,0.096,41.37,330.04,58.61,1.0,0.4992,0.9497,0.8992,ryu,0.0563,hybrid_p95,CONTROLLER
24,1,2026-05-08T08:37:11.165014,onos,Star_9n_30M,9,star,30M,19452.98,3.942,0.0,1.0,12.973,14.21,705.52,62.92,1.0,0.6784,0.753,0.9174,ryu,0.0563,hybrid_p95,CONTROLLER
25,1,2026-05-08T08:38:34.855901,ryu,Star_9n_80M,9,star,80M,19964.59,0.087,0.0,1.0,0.053,0.27,33.34,45.86,1.0,0.8821,0.961,0.974,ryu,0.0601,hybrid_p95,CONTROLLER
26,1,2026-05-08T08:40:00.726898,floodlight,Star_9n_80M,9,star,80M,19686.32,0.103,0.0,1.0,0.136,36.65,319.51,58.21,1.0,0.5357,0.9495,0.9062,ryu,0.0601,hybrid_p95,CONTROLLER
27,1,2026-05-08T08:42:33.057680,onos,Star_9n_80M,9,star,80M,16443.63,4.069,0.0,1.0,13.084,16.47,744.81,59.72,1.0,0.6596,0.754,0.9139,ryu,0.0601,hybrid_p95,CONTROLLER
28,1,2026-05-08T08:43:57.284157,ryu,Star_9n_180M,9,star,180M,17035.83,0.11,0.021,1.0,0.109,0.44,33.36,44.91,1.0,0.8808,0.9609,0.9738,ryu,0.0713,hybrid_p95,CONTROLLER
29,1,2026-05-08T08:45:24.305810,floodlight,Star_9n_180M,9,star,180M,16247.5,0.09,0.002,1.0,0.087,39.59,317.4,51.41,1.0,0.5139,0.9559,0.9025,ryu,0.0713,hybrid_p95,CONTROLLER
30,1,2026-05-08T08:48:01.846105,onos,Star_9n_180M,9,star,180M,16470.12,4.579,0.0,1.0,15.636,25.49,806.31,58.18,1.0,0.5893,0.717,0.8972,ryu,0.0713,hybrid_p95,CONTROLLER
31,1,2026-05-08T08:49:25.983122,ryu,Star_10n_5M,10,star,5M,16592.96,0.096,0.0,1.0,0.061,0.49,33.36,55.05,1.0,0.8805,0.9532,0.973,ryu,0.0569,hybrid_p95,CONTROLLER
32,1,2026-05-08T08:50:51.971264,floodlight,Star_10n_5M,10,star,5M,16128.64,0.1,0.0,1.0,0.109,44.15,344.5,59.77,1.0,0.477,0.9486,0.8948,ryu,0.0569,hybrid_p95,CONTROLLER
33,1,2026-05-08T08:53:21.704524,onos,Star_10n_5M,10,star,5M,41395.39,3.315,0.0,1.0,10.725,16.52,748.1,69.16,1.0,0.6591,0.7815,0.9161,ryu,0.0569,hybrid_p95,CONTROLLER
34,1,2026-05-08T08:54:44.199019,ryu,Star_10n_15M,10,star,15M,45116.97,0.081,0.0,1.0,0.061,0.36,33.35,47.09,1.0,0.8814,0.9598,0.9738,ryu,0.0616,hybrid_p95,CONTROLLER
35,1,2026-05-08T08:56:08.873118,floodlight,Star_10n_15M,10,star,15M,40739.75,0.093,0.0,1.0,0.116,32.23,328.01,61.48,1.0,0.5681,0.947,0.9122,ryu,0.0616,hybrid_p95,CONTROLLER
36,1,2026-05-08T08:58:39.891873,onos,Star_10n_15M,10,star,15M,43938.2,4.584,0.0,1.0,14.385,17.42,756.31,65.31,1.0,0.652,0.7298,0.9104,ryu,0.0616,hybrid_p95,CONTROLLER
37,1,2026-05-08T09:00:02.418767,ryu,Star_10n_30M,10,star,30M,44234.29,0.101,0.0,1.0,0.099,0.36,33.36,51.79,1.0,0.8814,0.9554,0.9734,ryu,0.0607,hybrid_p95,CONTROLLER
